archivo,startX,endX,startY,endY,clase
airplanes_0001,49,349,30,137,avion
airplanes_0002,59,342,35,153,avion
airplanes_0003,47,331,36,135,avion
airplanes_0004,47,342,24,141,avion
airplanes_0005,48,339,18,146,avion
airplanes_0006,48,344,24,126,avion
airplanes_0007,49,344,23,122,avion
airplanes_0008,51,344,29,119,avion
airplanes_0009,50,344,29,137,avion
airplanes_0010,55,335,32,106,avion
airplanes_0011,58,344,35,130,avion
airplanes_0012,49,344,25,122,avion
airplanes_0013,48,344,31,146,avion
airplanes_0014,55,349,37,121,avion
airplanes_0015,61,353,39,163,avion
airplanes_0016,59,327,54,137,avion
airplanes_0017,62,347,37,143,avion
airplanes_0018,57,348,33,147,avion
airplanes_0019,51,341,33,146,avion
airplanes_0020,45,345,31,165,avion
airplanes_0021,48,347,28,129,avion
airplanes_0022,49,344,30,130,avion
airplanes_0023,50,341,23,121,avion
airplanes_0024,48,344,25,106,avion
airplanes_0025,56,342,31,140,avion
airplanes_0026,59,337,30,127,avion
airplanes_0027,53,348,25,123,avion
airplanes_0028,54,346,29,114,avion
airplanes_0029,56,348,29,119,avion
airplanes_0030,47,354,15,161,avion
airplanes_0031,58,347,41,197,avion
airplanes_0032,50,342,29,119,avion
airplanes_0033,49,339,29,133,avion
airplanes_0034,58,340,28,122,avion
airplanes_0035,49,332,17,128,avion
airplanes_0036,49,347,6,166,avion
airplanes_0037,51,345,33,138,avion
airplanes_0038,47,347,4,106,avion
airplanes_0039,46,335,20,147,avion
airplanes_0040,47,344,29,146,avion
airplanes_0041,48,335,30,138,avion
airplanes_0042,52,336,31,154,avion
airplanes_0043,61,337,39,128,avion
airplanes_0044,63,333,29,132,avion
airplanes_0045,44,339,35,156,avion
airplanes_0046,61,346,24,148,avion
airplanes_0047,58,336,24,151,avion
airplanes_0048,54,332,29,124,avion
airplanes_0049,57,347,39,175,avion
airplanes_0050,61,338,42,126,avion
airplanes_0051,52,344,32,174,avion
airplanes_0052,57,347,23,143,avion
airplanes_0053,52,345,42,137,avion
airplanes_0054,63,324,43,169,avion
airplanes_0055,53,344,27,115,avion
airplanes_0056,71,326,28,116,avion
airplanes_0057,49,332,52,141,avion
airplanes_0058,39,342,39,149,avion
airplanes_0059,53,341,5,180,avion
airplanes_0060,54,339,17,127,avion
airplanes_0061,51,336,46,122,avion
airplanes_0062,55,346,43,126,avion
airplanes_0063,46,342,31,124,avion
airplanes_0064,46,342,37,140,avion
airplanes_0065,50,345,30,125,avion
airplanes_0066,52,344,39,109,avion
airplanes_0067,44,343,25,150,avion
airplanes_0068,49,339,30,144,avion
airplanes_0069,59,343,32,147,avion
airplanes_0070,58,345,34,156,avion
airplanes_0071,54,360,42,152,avion
airplanes_0072,59,341,78,171,avion
airplanes_0073,48,295,30,111,avion
airplanes_0074,51,346,27,100,avion
airplanes_0075,66,357,32,112,avion
airplanes_0076,49,342,33,147,avion
airplanes_0077,40,347,27,128,avion
airplanes_0078,46,337,23,159,avion
airplanes_0079,54,338,29,133,avion
airplanes_0080,55,341,32,139,avion
airplanes_0081,60,336,31,124,avion
airplanes_0082,55,345,22,140,avion
airplanes_0083,51,335,16,148,avion
airplanes_0084,60,349,44,144,avion
airplanes_0085,51,343,15,144,avion
airplanes_0086,50,344,32,112,avion
airplanes_0087,48,341,50,151,avion
airplanes_0088,57,354,52,146,avion
airplanes_0089,46,347,7,148,avion
airplanes_0090,57,343,32,163,avion
airplanes_0091,48,345,28,146,avion
airplanes_0092,54,349,32,160,avion
airplanes_0093,46,343,31,125,avion
airplanes_0094,54,346,24,110,avion
airplanes_0095,52,346,28,131,avion
airplanes_0096,52,329,41,138,avion
airplanes_0097,52,343,28,158,avion
airplanes_0098,69,339,11,164,avion
airplanes_0099,48,344,31,162,avion
airplanes_0100,46,343,8,167,avion
airplanes_0101,48,348,4,165,avion
airplanes_0102,49,343,25,109,avion
airplanes_0103,46,347,28,109,avion
airplanes_0104,53,344,13,184,avion
airplanes_0105,44,349,41,165,avion
airplanes_0106,48,352,31,152,avion
airplanes_0107,52,343,39,147,avion
airplanes_0108,56,345,10,127,avion
airplanes_0109,53,342,33,131,avion
airplanes_0110,54,345,13,138,avion
airplanes_0111,58,339,34,132,avion
airplanes_0112,62,339,22,139,avion
airplanes_0113,49,328,28,122,avion
airplanes_0114,45,342,38,159,avion
airplanes_0115,50,341,37,151,avion
airplanes_0116,52,336,31,139,avion
airplanes_0117,52,348,28,142,avion
airplanes_0118,104,126,38,38,avion
airplanes_0119,46,343,7,97,avion
airplanes_0120,42,351,24,136,avion
airplanes_0121,32,349,32,156,avion
airplanes_0122,61,355,38,139,avion
airplanes_0123,57,351,32,125,avion
airplanes_0124,51,348,33,117,avion
airplanes_0125,33,349,38,118,avion
airplanes_0126,56,346,35,117,avion
airplanes_0127,60,344,25,128,avion
airplanes_0128,64,351,27,123,avion
airplanes_0129,66,362,41,132,avion
airplanes_0130,45,342,30,118,avion
airplanes_0131,61,349,31,135,avion
airplanes_0132,56,344,33,111,avion
airplanes_0133,53,335,63,138,avion
airplanes_0134,42,343,27,99,avion
airplanes_0135,66,357,53,141,avion
airplanes_0136,35,346,28,142,avion
airplanes_0137,38,351,31,95,avion
airplanes_0138,42,345,25,95,avion
airplanes_0139,41,346,26,98,avion
airplanes_0140,41,345,25,94,avion
airplanes_0141,64,351,34,136,avion
airplanes_0142,52,346,31,148,avion
airplanes_0143,59,349,33,128,avion
airplanes_0144,59,342,29,122,avion
airplanes_0145,69,339,60,144,avion
airplanes_0146,75,351,67,128,avion
airplanes_0147,51,334,29,120,avion
airplanes_0148,61,343,34,127,avion
airplanes_0149,54,348,32,124,avion
airplanes_0150,58,347,31,95,avion
airplanes_0151,47,356,33,93,avion
airplanes_0152,62,349,32,143,avion
airplanes_0153,54,346,37,146,avion
airplanes_0154,26,345,30,110,avion
airplanes_0155,39,350,31,126,avion
airplanes_0156,58,339,28,109,avion
airplanes_0157,60,343,23,105,avion
airplanes_0158,56,349,31,112,avion
airplanes_0159,60,343,36,176,avion
airplanes_0160,57,341,30,138,avion
airplanes_0161,50,343,29,98,avion
airplanes_0162,58,350,30,133,avion
airplanes_0163,66,340,35,93,avion
airplanes_0164,50,341,29,143,avion
airplanes_0165,43,344,31,117,avion
airplanes_0166,64,357,38,121,avion
airplanes_0167,51,340,28,113,avion
airplanes_0168,59,345,33,130,avion
airplanes_0169,49,353,33,115,avion
airplanes_0170,56,349,26,119,avion
airplanes_0171,44,343,42,109,avion
airplanes_0172,63,356,42,159,avion
airplanes_0173,44,348,28,115,avion
airplanes_0174,44,345,28,138,avion
airplanes_0175,58,334,64,144,avion
airplanes_0176,61,350,28,126,avion
airplanes_0177,42,343,26,117,avion
airplanes_0178,51,346,32,159,avion
airplanes_0179,54,349,31,143,avion
airplanes_0180,51,350,33,123,avion
airplanes_0181,52,344,30,127,avion
airplanes_0182,60,347,29,110,avion
airplanes_0183,43,344,28,112,avion
airplanes_0184,53,346,30,109,avion
airplanes_0185,56,342,28,113,avion
airplanes_0186,48,345,32,149,avion
airplanes_0187,58,351,35,130,avion
airplanes_0188,50,347,27,111,avion
airplanes_0189,55,347,30,131,avion
airplanes_0190,56,344,36,120,avion
airplanes_0191,54,346,29,120,avion
airplanes_0192,55,344,27,102,avion
airplanes_0193,60,348,28,137,avion
airplanes_0194,50,341,63,131,avion
airplanes_0195,55,347,31,108,avion
airplanes_0196,53,344,26,133,avion
airplanes_0197,52,346,27,112,avion
airplanes_0198,48,348,28,141,avion
airplanes_0199,79,352,43,152,avion
airplanes_0200,56,346,31,135,avion
airplanes_0201,50,345,35,121,avion
airplanes_0202,51,273,33,60,avion
airplanes_0203,45,350,30,142,avion
airplanes_0204,52,344,32,130,avion
airplanes_0205,58,348,47,133,avion
airplanes_0206,57,342,32,135,avion
airplanes_0207,58,342,30,147,avion
airplanes_0208,67,342,44,190,avion
airplanes_0209,65,345,42,158,avion
airplanes_0210,60,347,38,190,avion
airplanes_0211,65,347,37,141,avion
airplanes_0212,62,351,47,161,avion
airplanes_0213,51,349,32,149,avion
airplanes_0214,53,342,32,104,avion
airplanes_0215,46,344,28,116,avion
airplanes_0216,66,347,37,136,avion
airplanes_0217,51,348,32,142,avion
airplanes_0218,49,349,30,119,avion
airplanes_0219,44,348,40,134,avion
airplanes_0220,50,346,25,99,avion
airplanes_0221,55,358,38,145,avion
airplanes_0222,40,350,37,161,avion
airplanes_0223,26,347,29,141,avion
airplanes_0224,52,346,33,125,avion
airplanes_0225,48,350,31,112,avion
airplanes_0226,47,346,12,123,avion
airplanes_0227,40,346,34,138,avion
airplanes_0228,52,348,27,96,avion
airplanes_0229,54,346,36,144,avion
airplanes_0230,65,349,74,136,avion
airplanes_0231,77,351,75,138,avion
airplanes_0232,56,352,36,111,avion
airplanes_0233,57,351,33,133,avion
airplanes_0234,52,345,31,146,avion
airplanes_0235,56,349,38,139,avion
airplanes_0236,47,351,35,138,avion
airplanes_0237,45,355,38,138,avion
airplanes_0238,50,348,32,145,avion
airplanes_0239,65,356,33,148,avion
airplanes_0240,59,350,32,126,avion
airplanes_0241,26,354,32,141,avion
airplanes_0242,49,343,37,115,avion
airplanes_0243,34,350,34,138,avion
airplanes_0244,39,342,31,145,avion
airplanes_0245,82,366,56,171,avion
airplanes_0246,49,344,29,135,avion
airplanes_0247,72,360,32,94,avion
airplanes_0248,57,344,29,143,avion
airplanes_0249,64,344,30,134,avion
airplanes_0250,76,340,31,148,avion
airplanes_0251,57,345,40,112,avion
airplanes_0252,66,351,33,135,avion
airplanes_0253,44,343,31,126,avion
airplanes_0254,49,349,61,187,avion
airplanes_0255,63,352,39,115,avion
airplanes_0256,86,350,62,155,avion
airplanes_0257,52,340,27,113,avion
airplanes_0258,48,340,31,154,avion
airplanes_0259,70,353,36,110,avion
airplanes_0260,78,356,55,114,avion
airplanes_0261,55,322,37,153,avion
airplanes_0262,85,322,81,412,avion
airplanes_0263,89,344,79,194,avion
airplanes_0264,54,335,36,116,avion
airplanes_0265,47,293,50,280,avion
airplanes_0266,57,348,67,187,avion
airplanes_0267,44,353,88,184,avion
airplanes_0268,57,347,35,131,avion
airplanes_0269,72,350,39,140,avion
airplanes_0270,64,350,38,132,avion
airplanes_0271,60,343,33,123,avion
airplanes_0272,54,360,39,132,avion
airplanes_0273,66,349,25,124,avion
airplanes_0274,57,353,34,130,avion
airplanes_0275,54,343,27,93,avion
airplanes_0276,40,345,27,105,avion
airplanes_0277,59,348,34,154,avion
airplanes_0278,51,347,34,151,avion
airplanes_0279,42,347,30,130,avion
airplanes_0280,50,345,40,139,avion
airplanes_0281,47,348,29,134,avion
airplanes_0282,48,351,29,113,avion
airplanes_0283,57,346,32,92,avion
airplanes_0284,58,353,36,134,avion
airplanes_0285,61,351,33,127,avion
airplanes_0286,56,350,41,120,avion
airplanes_0287,58,342,37,123,avion
airplanes_0288,57,348,27,112,avion
airplanes_0289,61,343,32,137,avion
airplanes_0290,43,354,34,133,avion
airplanes_0291,59,352,30,128,avion
airplanes_0292,60,353,31,122,avion
airplanes_0293,62,352,33,123,avion
airplanes_0294,55,350,31,133,avion
airplanes_0295,53,351,35,144,avion
airplanes_0296,66,361,39,144,avion
airplanes_0297,64,345,28,126,avion
airplanes_0298,62,354,32,126,avion
airplanes_0299,52,348,32,137,avion
airplanes_0300,62,352,32,108,avion
airplanes_0301,44,343,27,127,avion
airplanes_0302,60,348,33,126,avion
airplanes_0303,50,342,33,137,avion
airplanes_0304,59,352,56,163,avion
airplanes_0305,51,346,40,138,avion
airplanes_0306,40,348,7,138,avion
airplanes_0307,60,354,31,120,avion
airplanes_0308,53,340,27,105,avion
airplanes_0309,67,367,43,127,avion
airplanes_0310,48,351,38,133,avion
airplanes_0311,60,349,35,130,avion
airplanes_0312,65,355,33,128,avion
airplanes_0313,40,344,27,125,avion
airplanes_0314,63,344,84,165,avion
